id,topic,sub_topic,text,option_1,option_2,option_3,option_4,correct_answer,creator
41,Math,Algebra,What is the value of x in the equation 2x + 3 = 7? (v5),1,2,3,4,2,admin
42,Science,Physics,What is the acceleration due to gravity on Earth? (v5),8.8 m/sï¿,9.8 m/sï¿,10.8 m/sï¿,7.8 m/sï¿,9.8 m/sï¿,admin
43,History,Ancient,Who was the first emperor of Rome? (v5),Julius Caesar,Augustus,Nero,Caligula,Augustus,admin
44,Computer Science,Programming,Which keyword is used to create a class in Java? (v5),function,define,class,new,class,admin
45,Literature,Poetry,Who wrote 'The Raven'? (v5),Robert Frost,William Shakespeare,Edgar Allan Poe,Emily Dickinson,Edgar Allan Poe,admin
46,Math,Geometry,What is the sum of interior angles of a triangle? (v5),90ï¿,180ï¿,270ï¿,360ï¿,180ï¿,admin
47,Science,Chemistry,What is the chemical symbol for Gold? (v5),Au,Ag,Fe,Gd,Au,admin
48,History,Modern,In which year did World War II end? (v5),1943,1944,1945,1946,1945,admin
49,Computer Science,Networks,What does 'IP' stand for in networking? (v5),Internet Provider,Internet Protocol,Internal Protocol,Interface Protocol,Internet Protocol,admin
50,Literature,Drama,Who is the tragic hero in Shakespeare's 'Macbeth'? (v5),Hamlet,Othello,Macbeth,Lear,Macbeth,admin
51,Math,Algebra,What is the value of x in the equation 2x + 3 = 7? (v6),1,2,3,4,2,admin
52,Science,Physics,What is the acceleration due to gravity on Earth? (v6),8.8 m/sï¿,9.8 m/sï¿,10.8 m/sï¿,7.8 m/sï¿,9.8 m/sï¿,admin
53,History,Ancient,Who was the first emperor of Rome? (v6),Julius Caesar,Augustus,Nero,Caligula,Augustus,admin
54,Computer Science,Programming,Which keyword is used to create a class in Java? (v6),function,define,class,new,class,admin
55,Literature,Poetry,Who wrote 'The Raven'? (v6),Robert Frost,William Shakespeare,Edgar Allan Poe,Emily Dickinson,Edgar Allan Poe,admin
56,Math,Geometry,What is the sum of interior angles of a triangle? (v6),90ï¿,180ï¿,270ï¿,360ï¿,180ï¿,admin
57,Science,Chemistry,What is the chemical symbol for Gold? (v6),Au,Ag,Fe,Gd,Au,admin
58,History,Modern,In which year did World War II end? (v6),1943,1944,1945,1946,1945,admin
59,Computer Science,Networks,What does 'IP' stand for in networking? (v6),Internet Provider,Internet Protocol,Internal Protocol,Interface Protocol,Internet Protocol,admin
60,Literature,Drama,Who is the tragic hero in Shakespeare's 'Macbeth'? (v6),Hamlet,Othello,Macbeth,Lear,Macbeth,admin
61,Math,Algebra,What is the value of x in the equation 2x + 3 = 7? (v7),1,2,3,4,2,admin
62,Science,Physics,What is the acceleration due to gravity on Earth? (v7),8.8 m/sï¿,9.8 m/sï¿,10.8 m/sï¿,7.8 m/sï¿,9.8 m/sï¿,admin
63,History,Ancient,Who was the first emperor of Rome? (v7),Julius Caesar,Augustus,Nero,Caligula,Augustus,admin
64,Computer Science,Programming,Which keyword is used to create a class in Java? (v7),function,define,class,new,class,admin
65,Literature,Poetry,Who wrote 'The Raven'? (v7),Robert Frost,William Shakespeare,Edgar Allan Poe,Emily Dickinson,Edgar Allan Poe,admin
66,Math,Geometry,What is the sum of interior angles of a triangle? (v7),90ï¿,180ï¿,270ï¿,360ï¿,180ï¿,admin
67,Science,Chemistry,What is the chemical symbol for Gold? (v7),Au,Ag,Fe,Gd,Au,admin
68,History,Modern,In which year did World War II end? (v7),1943,1944,1945,1946,1945,admin
69,Computer Science,Networks,What does 'IP' stand for in networking? (v7),Internet Provider,Internet Protocol,Internal Protocol,Interface Protocol,Internet Protocol,admin
70,Literature,Drama,Who is the tragic hero in Shakespeare's 'Macbeth'? (v7),Hamlet,Othello,Macbeth,Lear,Macbeth,admin
71,Math,Algebra,What is the value of x in the equation 2x + 3 = 7? (v8),1,2,3,4,2,admin
72,Science,Physics,What is the acceleration due to gravity on Earth? (v8),8.8 m/sï¿,9.8 m/sï¿,10.8 m/sï¿,7.8 m/sï¿,9.8 m/sï¿,admin
73,History,Ancient,Who was the first emperor of Rome? (v8),Julius Caesar,Augustus,Nero,Caligula,Augustus,admin
74,Computer Science,Programming,Which keyword is used to create a class in Java? (v8),function,define,class,new,class,admin
75,Literature,Poetry,Who wrote 'The Raven'? (v8),Robert Frost,William Shakespeare,Edgar Allan Poe,Emily Dickinson,Edgar Allan Poe,admin
76,Math,Geometry,What is the sum of interior angles of a triangle? (v8),90ï¿,180ï¿,270ï¿,360ï¿,180ï¿,admin
77,Science,Chemistry,What is the chemical symbol for Gold? (v8),Au,Ag,Fe,Gd,Au,admin
78,History,Modern,In which year did World War II end? (v8),1943,1944,1945,1946,1945,admin
79,Computer Science,Networks,What does 'IP' stand for in networking? (v8),Internet Provider,Internet Protocol,Internal Protocol,Interface Protocol,Internet Protocol,admin
80,Literature,Drama,Who is the tragic hero in Shakespeare's 'Macbeth'? (v8),Hamlet,Othello,Macbeth,Lear,Macbeth,admin
81,Math,Algebra,What is the value of x in the equation 2x + 3 = 7? (v9),1,2,3,4,2,admin
82,Science,Physics,What is the acceleration due to gravity on Earth? (v9),8.8 m/sï¿,9.8 m/sï¿,10.8 m/sï¿,7.8 m/sï¿,9.8 m/sï¿,admin
83,History,Ancient,Who was the first emperor of Rome? (v9),Julius Caesar,Augustus,Nero,Caligula,Augustus,admin
84,Computer Science,Programming,Which keyword is used to create a class in Java? (v9),function,define,class,new,class,admin
85,Literature,Poetry,Who wrote 'The Raven'? (v9),Robert Frost,William Shakespeare,Edgar Allan Poe,Emily Dickinson,Edgar Allan Poe,admin
86,Math,Geometry,What is the sum of interior angles of a triangle? (v9),90ï¿,180ï¿,270ï¿,360ï¿,180ï¿,admin
87,Science,Chemistry,What is the chemical symbol for Gold? (v9),Au,Ag,Fe,Gd,Au,admin
88,History,Modern,In which year did World War II end? (v9),1943,1944,1945,1946,1945,admin
89,Computer Science,Networks,What does 'IP' stand for in networking? (v9),Internet Provider,Internet Protocol,Internal Protocol,Interface Protocol,Internet Protocol,admin
90,Literature,Drama,Who is the tragic hero in Shakespeare's 'Macbeth'? (v9),Hamlet,Othello,Macbeth,Lear,Macbeth,admin
91,Math,Algebra,What is the value of x in the equation 2x + 3 = 7? (v10),1,2,3,4,2,admin
92,Science,Physics,What is the acceleration due to gravity on Earth? (v10),8.8 m/sï¿,9.8 m/sï¿,10.8 m/sï¿,7.8 m/sï¿,9.8 m/sï¿,admin
93,History,Ancient,Who was the first emperor of Rome? (v10),Julius Caesar,Augustus,Nero,Caligula,Augustus,admin
94,Computer Science,Programming,Which keyword is used to create a class in Java? (v10),function,define,class,new,class,admin
95,Literature,Poetry,Who wrote 'The Raven'? (v10),Robert Frost,William Shakespeare,Edgar Allan Poe,Emily Dickinson,Edgar Allan Poe,admin
96,Math,Geometry,What is the sum of interior angles of a triangle? (v10),90ï¿,180ï¿,270ï¿,360ï¿,180ï¿,admin
97,Science,Chemistry,What is the chemical symbol for Gold? (v10),Au,Ag,Fe,Gd,Au,admin
98,History,Modern,In which year did World War II end? (v10),1943,1944,1945,1946,1945,admin
99,Computer Science,Networks,What does 'IP' stand for in networking? (v10),Internet Provider,Internet Protocol,Internal Protocol,Interface Protocol,Internet Protocol,admin
100,Literature,Drama,Who is the tragic hero in Shakespeare's 'Macbeth'? (v10),Hamlet,Othello,Macbeth,Lear,Macbeth,admin
a,b,c,d,e,f,g,h
a,b,c,d,e,f,g,h
